OpenAlex ID,ORCID,Name,Alt Names,Publications,Citations,h-index,Number of Institutions
A5043607509,,Lauren Fridman,"['Fridman Lauren', 'Fridman, Lauren', 'L. Fridman', 'L. M. Fridman', 'Lauren Fridman']",13,37,3,4
A5040749724,https://orcid.org/0000-0003-0717-5682,Peter R. Malone,"['P Malone', 'P R Malone', 'P. MALONE', 'P. Malone', 'P. R. MALONE', 'P. R. Malone', 'P.R Malone', 'P.R. MALONE', 'P.R. Malone', 'PETER MALONE', 'PETER R. MALONE', 'Peter Malone', 'Peter R Malone', 'Peter R. Malone']",152,1932,26,34
A5054770258,https://orcid.org/0000-0002-4718-6119,Rotem Kahalon,"['Kahalon, Rotem', 'Rotem Kahalon']",56,645,13,7
A5057319228,,Enkhtuul Enkhtuya,"['E. Enkhtuya', 'Enkhtuul Enkhtuya']",8,54,4,2
A5007325522,,Syedvali Pinjari,"['Pinjari Syedvali', 'Pinjari, Syedvali', 'Syedvali Pinjari']",7,177,4,4
A5018486913,https://orcid.org/0000-0003-1551-7072,Richard G. Frank,"['Frank Richard G.', 'Frank, Richard', 'Frank, Richard G.', 'MD', 'R Frank', 'R G Frank', 'R. Frank', 'R. G. Frank', 'RICHARD FRANK', 'RICHARD G. FRANK', 'Richard Frank', 'Richard G Frank', 'Richard G.\n    Frank', 'Richard G. FRANK', 'Richard G. Frank', 'Richard Gabriel Frank']",556,21631,69,70
A5083724661,,Christine Chuong,['Christine Chuong'],2,46,1,2
A5045660668,,Nardia Strydom,"['N. Strydom', 'Nardia Strydom']",12,132,5,5
A5028324353,https://orcid.org/0000-0002-3509-6175,Shireen Noor,['Shireen Noor'],4,24,1,3
A5030201362,https://orcid.org/0000-0002-9474-4865,Nigel Harwood,"['Claire Kramsch', 'N A Harwood', 'N HARWOOD', 'N. Harwood', 'NIGEL HARWOOD', 'Nigel Harwood']",70,3118,27,59
A5019999144,,Hendrik Wolff,"['Hendrik Wolff', 'Marian Grade', 'Wolff, Hendrik']",58,1726,19,9
A5119426588,,Neda Zolfaghari,['Neda Zolfaghari'],1,1,1,1
A5093134124,,Par Yushu Zhu,['Par Yushu Zhu'],1,0,0,1
A5003414139,,Marianne Jacquet,"['M. Pierre A. Jacquet', 'Marianne Jacquet']",45,256,9,5
A5050407656,,Camille Maunoir,['Camille Maunoir'],1,29,1,1
A5056543952,https://orcid.org/0000-0003-0709-0160,Richard Bent,"['Bent, Richard', 'R. R. BENT', 'Richard Bent']",53,372,10,4
A5031951859,https://orcid.org/0000-0003-2206-0592,Michael T. Y. Paul,"['M. Paul', 'Michael Paul', 'Michael T Y Paul', 'Michael T. Y. Paul', 'Michael T.Y. Paul', 'Mike T. Y. Paul']",55,1650,19,11
A5006154556,https://orcid.org/0000-0001-6405-2676,Aleisha Fernandes,['Aleisha Fernandes'],2,16,2,2
A5091261371,,Daniel RY Gan,['Daniel RY Gan'],2,0,0,1
