,name1,name2,id1,id2,similarity_score
0,ahmed al‐rawi,ahmed al-rawi,A5050245548,A5093769593,92
1,gail s anderson,a m anderson,A5046194198,A5043746917,81
2,vinícius c azevedo,vinicius c azevedo,A5112368463,A5103260690,94
3,niloufar aran,niloufar abhari,A5086077761,A5034158753,79
4,a m anderson,sean c anderson,A5043746917,A5081686405,81
5,joshua d alampi,josh alampi,A5005530879,A5064096264,85
6,sean c anderson,aspen anderson,A5081686405,A5019882570,83
7,nadra ansari,neda anvari,A5058829130,A5085378218,78
8,ivan v bajić,lvan v bajic,A5012187461,A5093208285,83
9,mark a brockman,ma brockman,A5021397351,A5062945775,85
10,nicholas blomley,nicholas brunelle,A5028312431,A5008301049,79
11,behraad bahreyni,behdad bahrani,A5014284015,A5115910521,80
12,andrew p blaber,andrew phillip blaber,A5111618673,A5113110122,83
13,matthew brown,matthew berkowitz,A5041724055,A5060702246,80
14,christopher beh,christopher buse,A5012256170,A5118970217,90
15,tom c brown,tom brown,A5112796676,A5078745916,90
16,andreǐ a bulatov,andreĭ a bulatov,A5103266587,A5108247017,94
17,douglas c braun,doug r braun,A5113442963,A5103066580,81
18,megan barker,megan k barker,A5056468452,A5054202306,92
19,tim u h baumeister,tim baumeister,A5019595229,A5058323325,88
20,andreea bratu,andreea barbu,A5064542404,A5098667658,85
21,jil a busmann,jil busmann,A5072224327,A5074527350,92
22,florian baer,florian r bär,A5066677866,A5092691914,80
23,monica bhattacharjee,paloma bhattacharjee,A5044573188,A5010444190,80
24,scott e bernstein,scott bernstein,A5057881599,A5002125273,94
25,alishba bibal,alishba bilal,A5115512232,A5112957369,92
26,ignacio calderon de la barca,igacio calderon de la barca,A5017248675,A5050733708,98
27,z brumme,zl brumme,A5075252668,A5084001641,94
28,mirzafaisal beg,mirza faisal beg,A5104015115,A5000972836,97
29,john j clague,j j clague,A5090873433,A5000296592,87
30,sheelagh carpendale,hannah carpendale,A5012561411,A5116816635,78
31,jennifer a chan,jennifer c y chan,A5067228740,A5029500670,88
32,caroline colijn,caroline coljin,A5091754800,A5019122524,93
33,caroline colijn,caroline colijin,A5091754800,A5092252314,97
34,sarah l canham,rachel canham,A5056237664,A5034142600,81
35,jing chen,gang chen,A5100394876,A5100389308,78
36,jing chen,j chen,A5100394876,A5107886267,80
37,jing chen,long chen,A5100394876,A5100336421,78
38,jing chen,imin chen,A5100394876,A5024124555,78
39,yuxi chen,xi chen,A5100764265,A5100690182,88
40,brian e conway,brian conway,A5109163734,A5101537673,92
41,david c clarke,dave clarke,A5062270975,A5075735110,80
42,david c clarke,dave c clarke,A5062270975,A5112840346,89
43,deborah a connolly,deb connolly,A5014109821,A5066779521,80
44,gang chen,long chen,A5100389308,A5100336421,78
45,teresa cheung,tessa cheng,A5077739432,A5051697024,83
46,teresa cheung,teresa p cheung,A5077739432,A5079537793,93
47,anita t coté,anita coté,A5072214202,A5066224186,91
48,william a cupples,w a cupples,A5110868279,A5110810484,79
49,rebecca j cobb,rebecca d cox,A5000846228,A5024026724,81
50,stephen choi,stephen collis,A5046677225,A5015481958,85
51,stephen choi,stephen chastain,A5046677225,A5016082339,79
52,daniel chang,dave chang,A5044668950,A5011390842,82
53,daniel chang,daniel chiang,A5044668950,A5006979877,96
54,si chen,xi chen,A5100366176,A5100690182,86
55,kristin chong,christine chuong,A5104109440,A5083724661,83
56,tessa cheng,vanessa cheung,A5051697024,A5119532228,80
57,im côté,a m côté,A5027736032,A5011587569,80
58,qimin chen,imin chen,A5069419461,A5024124555,95
59,maude comtois‐cabana,maude comtois cabana,A5071955961,A5007654876,95
60,dani chu,annica chu,A5083177316,A5065197663,78
61,a carr,a carter,A5081082111,A5004107679,86
62,stephanie j cooper,stephanie cooper,A5103638663,A5111618796,94
63,dave chang,daniel chiang,A5011390842,A5006979877,78
64,avneet k chhina,navneet kaur chana,A5042285024,A5004230309,79
65,dave clarke,dave c clarke,A5075735110,A5112840346,92
66,cherlene chang,helen chong,A5077809227,A5110538120,80
67,alexander ciok,alex ciok,A5106492693,A5087730138,78
68,caroline coljin,caroline colijin,A5019122524,A5092252314,97
69,hugo cardoso,hugo fv cardoso,A5102492080,A5078265907,89
70,b davids,l davis,A5065529657,A5103103853,80
71,sam m doesburg,sam doesburg,A5081393957,A5022796523,92
72,j maxwell donelan,max donelan,A5069056622,A5082745401,79
73,garth w p davies,garth davies,A5061377171,A5104079126,86
74,nilgun donmez,anil donmez,A5053611147,A5027106147,83
75,andréanne doyon,andré doyon,A5020845547,A5066893131,85
76,andréanne doyon,andreanne doyon,A5020845547,A5106389029,93
77,thomas donaldson,tom donaldson,A5002800300,A5046128130,90
78,danielle h derrick,danielle n devries,A5059440078,A5066747131,78
79,sebastian dille,sebastian damin,A5049760941,A5038535256,80
80,lloyd t elliott,lt elliott,A5088544768,A5114020486,80
81,clara vada etter,clara v etter,A5077611536,A5068946645,90
82,alain fischer,kayla fischler,A5029004287,A5016098002,81
83,richard g frank,richard frank,A5018486913,A5030367930,93
84,faranak farzan,farnak farzan,A5015821361,A5016330282,96
85,andrei v frolov,andrei v frolovand,A5036300411,A5047401072,91
86,henry a finn,henry finn,A5029860397,A5080374417,91
87,ron ferguson,arron ferguson,A5113563751,A5037222281,92
88,sina fatolahzadeh,s fatolahzadeh,A5028619456,A5106384340,90
89,sheri fabian,sheryl c fabian,A5076158895,A5092626911,81
90,reza farzam,r farzam,A5061603743,A5092972281,84
91,bill t fischer,w t fischer,A5057550186,A5032463725,80
92,anita feng,cai feng,A5119583570,A5095742090,78
93,henry fu,henry finn,A5011082676,A5080374417,78
94,susanne w fietz,w susanne fietz,A5093010858,A5052771299,87
95,biruté m f galdikas,birute mary f galdikas,A5110301419,A5110389729,88
96,alissa greer,alissa m greer,A5037509232,A5102942084,92
97,daniel r y gan,daniel ry gan,A5075926575,A5091261371,96
98,thomas gunton,tom gunton,A5059560375,A5113412320,87
99,shreemouna gurung,sheemouna gurung,A5088826260,A5114125674,97
100,bhargav gadhvi,bhargav gadhavi,A5024718097,A5067698309,97
101,paneet gill,pavreet k gill,A5104096209,A5014787119,80
102,h dan gibson,h daniel gibson,A5062475859,A5022558865,89
103,david j green,d j green,A5027361434,A5022328570,82
104,emma griggs,e griggs,A5048222452,A5096227643,84
105,wanhaoyi geng,wanhayoi geng,A5069750402,A5058844042,92
106,fh garcia,f h garcia,A5085198235,A5006750915,95
107,andrew b harris,andrew harries,A5011644095,A5002454592,90
