,name1,name2,id1,id2,similarity_score
0,nastaran arianpoo,n arianpoo,A5071435032,A5102728332,100
1,behraad bahreyni,charles duruaku behraad bahreyni,A5014284015,A5093419970,100
2,yuxi chen,xi chen,A5100764265,A5100690182,100
3,wendy hui kyong chun,kyong chun,A5087258215,A5095550599,100
4,si chen,kennedy s chen,A5100366176,A5033323748,92
5,julia carr,a carr,A5033404204,A5081082111,100
6,qimin chen,imin chen,A5069419461,A5024124555,100
7,spencer x chen,xi chen,A5069380842,A5100690182,92
8,ryan j fitzgerald,f fitzgerald,A5080346382,A5075379813,92
9,cai feng,mitsu cai feng,A5095742090,A5015238772,100
10,tera marie green,e green,A5003702717,A5014407450,100
11,on behalf of the canoc collaboration robert s hogg,robert s hogg,A5000081966,A5034865907,100
12,ng jensen,g jensen,A5086281143,A5003321247,100
13,konstantin lehmann,n lehmann,A5107369398,A5107889357,100
14,dominic j lee,j lee,A5014546778,A5020077930,100
15,mohammadhadi mohandes,hadi mohandes,A5034050548,A5063739195,100
16,raymond a patterson,da patterson,A5020415508,A5110248522,92
17,jane e pendray,elizabeth jane pendray,A5073577807,A5114993153,92
18,james matthews duncan scott,n scott,A5084788253,A5011600617,100
19,cameron scott,n scott,A5030564726,A5011600617,100
20,jiacheng wang,g wang,A5100727957,A5061444400,100
21,yang wang,g wang,A5100322922,A5061444400,100
22,g gary wang,yi wang,A5007112989,A5071864494,92
23,zezhong wang,g wang,A5080413518,A5061444400,100
24,yitong wang,g wang,A5118608059,A5061444400,100
25,zhengqing wang,g wang,A5005632299,A5061444400,100
26,zhengqing wang,mengqin wang,A5005632299,A5109697714,92
27,g wang,fangxing wang,A5061444400,A5055564425,100
28,g wang,tianzheng wang,A5061444400,A5101598171,100
29,g wang,xiaoying wang,A5061444400,A5075566936,100
30,g wang,yuepeng wang,A5061444400,A5024695395,100
31,jennifer wang,r wang,A5023442198,A5045307948,100
32,yi wang,nena y wang,A5071864494,A5077705483,92
33,zhilin zhang,n zhang,A5100723116,A5061007955,100
34,n zhang,zhitian zhang,A5061007955,A5111217709,100
35,n zhang,yuxuan zhang,A5061007955,A5100319892,100
