OpenAlex ID,ORCID,Name,Alt Names,Publications,Citations,h-index,Number of Institutions,first_names,last_name,last_init,name_raw,id,fi_ln
A5043607509,,Lauren Fridman,"['Fridman Lauren', 'Fridman, Lauren', 'L. Fridman', 'L. M. Fridman', 'Lauren Fridman']",13,37,3,4,Lauren,Fridman,f,lauren fridman,A5043607509,L Fridman
A5040749724,https://orcid.org/0000-0003-0717-5682,Peter R. Malone,"['P Malone', 'P R Malone', 'P. MALONE', 'P. Malone', 'P. R. MALONE', 'P. R. Malone', 'P.R Malone', 'P.R. MALONE', 'P.R. Malone', 'PETER MALONE', 'PETER R. MALONE', 'Peter Malone', 'Peter R Malone', 'Peter R. Malone']",152,1932,26,34,Peter R.,Malone,m,peter r. malone,A5040749724,P Malone
A5054770258,https://orcid.org/0000-0002-4718-6119,Rotem Kahalon,"['Kahalon, Rotem', 'Rotem Kahalon']",56,645,13,7,Rotem,Kahalon,k,rotem kahalon,A5054770258,R Kahalon
A5057319228,,Enkhtuul Enkhtuya,"['E. Enkhtuya', 'Enkhtuul Enkhtuya']",8,54,4,2,Enkhtuul,Enkhtuya,e,enkhtuul enkhtuya,A5057319228,E Enkhtuya
A5007325522,,Syedvali Pinjari,"['Pinjari Syedvali', 'Pinjari, Syedvali', 'Syedvali Pinjari']",7,177,4,4,Syedvali,Pinjari,p,syedvali pinjari,A5007325522,S Pinjari
A5018486913,https://orcid.org/0000-0003-1551-7072,Richard G. Frank,"['Frank Richard G.', 'Frank, Richard', 'Frank, Richard G.', 'MD', 'R Frank', 'R G Frank', 'R. Frank', 'R. G. Frank', 'RICHARD FRANK', 'RICHARD G. FRANK', 'Richard Frank', 'Richard G Frank', 'Richard G.\n    Frank', 'Richard G. FRANK', 'Richard G. Frank', 'Richard Gabriel Frank']",556,21631,69,70,Richard G.,Frank,f,richard g. frank,A5018486913,R Frank
A5045660668,,Nardia Strydom,"['N. Strydom', 'Nardia Strydom']",12,132,5,5,Nardia,Strydom,s,nardia strydom,A5045660668,N Strydom
A5030201362,https://orcid.org/0000-0002-9474-4865,Nigel Harwood,"['Claire Kramsch', 'N A Harwood', 'N HARWOOD', 'N. Harwood', 'NIGEL HARWOOD', 'Nigel Harwood']",70,3118,27,59,Nigel,Harwood,h,nigel harwood,A5030201362,N Harwood
A5003414139,,Marianne Jacquet,"['M. Pierre A. Jacquet', 'Marianne Jacquet']",45,256,9,5,Marianne,Jacquet,j,marianne jacquet,A5003414139,M Jacquet
A5056543952,https://orcid.org/0000-0003-0709-0160,Richard Bent,"['Bent, Richard', 'R. R. BENT', 'Richard Bent']",53,372,10,4,Richard,Bent,b,richard bent,A5056543952,R Bent
A5054246138,,Ali Rahnama,['Ali Rahnama'],22,121,6,6,Ali,Rahnama,r,ali rahnama,A5054246138,A Rahnama
A5083558198,https://orcid.org/0000-0001-6485-7263,Dan Bilsker,"['D Bilsker', 'D. Bilsker', 'Dan Bilsker']",48,899,16,7,Dan,Bilsker,b,dan bilsker,A5083558198,D Bilsker
