,name1,name2,id1,id2,similarity_score
0,monika arora,monika arora,A5073647790,A5106181412,100
1,peter anderson,peter anderson,A5020382873,A5004271551,100
2,ben adcock,ben adcock,A5065352983,A5124726289,100
3,sean c anderson,sean c anderson,A5101957746,A5081686405,100
4,sean c anderson,sean c anderson,A5101957746,A5126441932,100
5,sean c anderson,sean c anderson,A5101957746,A5128867328,100
6,jonn axsen,jonn axsen,A5090491703,A5125017969,100
7,gail s anderson,gail s anderson,A5046194198,A5130902542,100
8,miguel alcaide,miguel alcaide,A5051247957,A5036882721,100
9,s bruce archibald,s bruce archibald,A5075000677,A5126123639,100
10,s bruce archibald,s bruce archibald,A5075000677,A5108658458,100
11,s bruce archibald,s bruce archibald,A5075000677,A5126074254,100
12,s bruce archibald,s bruce archibald,A5075000677,A5126229553,100
13,s bruce archibald,s bruce archibald,A5075000677,A5126099544,100
14,s bruce archibald,s bruce archibald,A5075000677,A5126116459,100
15,s bruce archibald,s bruce archibald,A5075000677,A5126176818,100
16,douglas w allen,douglas w allen,A5103340535,A5025923486,100
17,zafar adeel,zafar adeel,A5058814863,A5110858529,100
18,abid ali,abid ali,A5100617855,A5121341269,100
19,matthew amy,matthew amy,A5042673679,A5092679926,100
20,ahmed al-rawi,ahmed al-rawi,A5101544105,A5093769593,100
21,ahmed al-rawi,ahmed al-rawi,A5101544105,A5126268048,100
22,ahmed al-rawi,ahmed al-rawi,A5101544105,A5128792042,100
23,ahmed al-rawi,ahmed al-rawi,A5101544105,A5099588121,100
24,sam anderson,sam anderson,A5033020866,A5128983888,100
25,zayed ahmed,zayed ahmed,A5048910472,A5113062937,100
26,david alexander,david alexander,A5101707337,A5101964988,100
27,andreu arinyo-i-prats,andreu arinyo-i-prats,A5007472656,A5126050129,100
28,andreu arinyo-i-prats,andreu arinyo-i-prats,A5007472656,A5120531555,100
29,ronda arab,ronda arab,A5071668228,A5092700665,100
30,skye augustine,skye augustine,A5103751297,A5029341971,100
31,s an,s an,A5110558675,A5113413886,100
32,m bakhtiar azim,m bakhtiar azim,A5022557940,A5123113080,100
33,mehryar abbasi,mehryar abbasi,A5031764000,A5012315304,100
34,sean c anderson,sean c anderson,A5081686405,A5126441932,100
35,sean c anderson,sean c anderson,A5081686405,A5128867328,100
36,ahmed al-rawi,ahmed al-rawi,A5093769593,A5126268048,100
37,ahmed al-rawi,ahmed al-rawi,A5093769593,A5128792042,100
38,ahmed al-rawi,ahmed al-rawi,A5093769593,A5099588121,100
39,ashudeep,ashudeep,A5068001161,A5133131563,100
40,lara aknin,lara aknin,A5099266254,A5128418332,100
41,s bruce archibald,s bruce archibald,A5126123639,A5108658458,100
42,s bruce archibald,s bruce archibald,A5126123639,A5126074254,100
43,s bruce archibald,s bruce archibald,A5126123639,A5126229553,100
44,s bruce archibald,s bruce archibald,A5126123639,A5126099544,100
45,s bruce archibald,s bruce archibald,A5126123639,A5126116459,100
46,s bruce archibald,s bruce archibald,A5126123639,A5126176818,100
47,zara anwarzai,zara anwarzai,A5014500937,A5120382937,100
48,zara anwarzai,zara anwarzai,A5014500937,A5121668424,100
49,andreu arinyo-i-prats,andreu arinyo-i-prats,A5126050129,A5120531555,100
50,adjua akinwumi,adjua akinwumi,A5028775367,A5014560773,100
51,irshad abdulla,irshad abdulla,A5119884720,A5120000799,100
52,s bruce archibald,s bruce archibald,A5108658458,A5126074254,100
53,s bruce archibald,s bruce archibald,A5108658458,A5126229553,100
54,s bruce archibald,s bruce archibald,A5108658458,A5126099544,100
55,s bruce archibald,s bruce archibald,A5108658458,A5126116459,100
56,s bruce archibald,s bruce archibald,A5108658458,A5126176818,100
57,s bruce archibald,s bruce archibald,A5126074254,A5126229553,100
58,s bruce archibald,s bruce archibald,A5126074254,A5126099544,100
59,s bruce archibald,s bruce archibald,A5126074254,A5126116459,100
60,s bruce archibald,s bruce archibald,A5126074254,A5126176818,100
61,s bruce archibald,s bruce archibald,A5126229553,A5126099544,100
62,s bruce archibald,s bruce archibald,A5126229553,A5126116459,100
63,s bruce archibald,s bruce archibald,A5126229553,A5126176818,100
64,ahmed al-rawi,ahmed al-rawi,A5126268048,A5128792042,100
65,ahmed al-rawi,ahmed al-rawi,A5126268048,A5099588121,100
66,ahmed al-rawi,ahmed al-rawi,A5128792042,A5099588121,100
67,taleen ashekian,taleen ashekian,A5119412528,A5119413521,100
68,zara anwarzai,zara anwarzai,A5120382937,A5121668424,100
69,s bruce archibald,s bruce archibald,A5126099544,A5126116459,100
70,s bruce archibald,s bruce archibald,A5126099544,A5126176818,100
71,s bruce archibald,s bruce archibald,A5126116459,A5126176818,100
72,sean c anderson,sean c anderson,A5126441932,A5128867328,100
73,p h beauchemin,p h beauchemin,A5118899211,A5107883603,100
74,q buat,q buat,A5042762646,A5107888096,100
75,q buat,q buat,A5042762646,A5060200783,100
76,q buat,q buat,A5042762646,A5100901311,100
77,q buat,q buat,A5042762646,A5107311034,100
78,q buat,q buat,A5042762646,A5109398303,100
79,q buat,q buat,A5042762646,A5107233323,100
80,peter becker,peter becker,A5025847433,A5066848031,100
81,t buanes,t buanes,A5107846638,A5025863512,100
82,j c burzynski,j c burzynski,A5039744323,A5032934650,100
83,j c burzynski,j c burzynski,A5039744323,A5105843690,100
84,j c burzynski,j c burzynski,A5039744323,A5107904219,100
85,j c burzynski,j c burzynski,A5039744323,A5107459251,100
86,j c burzynski,j c burzynski,A5039744323,A5107901827,100
87,j c burzynski,j c burzynski,A5039744323,A5122742592,100
88,j c burzynski,j c burzynski,A5039744323,A5122993364,100
89,j c burzynski,j c burzynski,A5039744323,A5123055320,100
90,j c burzynski,j c burzynski,A5039744323,A5125998180,100
91,j c burzynski,j c burzynski,A5039744323,A5126952138,100
92,j c burzynski,j c burzynski,A5039744323,A5134788811,100
93,ann n burchell,ann n burchell,A5112679590,A5050430471,100
94,a buzatu,a buzatu,A5107873039,A5088370493,100
95,a buzatu,a buzatu,A5107873039,A5107831864,100
96,jeremy brown,jeremy brown,A5102838917,A5103263060,100
97,mirza faisal beg,mirza faisal beg,A5000972836,A5102760369,100
98,mirza faisal beg,mirza faisal beg,A5000972836,A5121034242,100
99,mirza faisal beg,mirza faisal beg,A5000972836,A5122044574,100
100,mirza faisal beg,mirza faisal beg,A5000972836,A5122426444,100
101,mirza faisal beg,mirza faisal beg,A5000972836,A5122441055,100
102,mirza faisal beg,mirza faisal beg,A5000972836,A5124881787,100
103,mirza faisal beg,mirza faisal beg,A5000972836,A5126533278,100
104,mirza faisal beg,mirza faisal beg,A5000972836,A5133974418,100
105,joão luiz bastos,joão luiz bastos,A5076619980,A5122616529,100
106,john r best,john r best,A5035542400,A5130836723,100
107,john r best,john r best,A5035542400,A5126538685,100
108,peter bradshaw,peter bradshaw,A5108387889,A5079359533,100
109,paul beaudry,paul beaudry,A5113495291,A5123530298,100
110,stephen l brown,stephen l brown,A5047699389,A5103503178,100
111,stephen l brown,stephen l brown,A5047699389,A5101606320,100
112,sarah brown,sarah brown,A5080535134,A5063836752,100
113,john bechhoefer,john bechhoefer,A5060042191,A5120673000,100
114,h bahrasemani,h bahrasemani,A5107882155,A5107883906,100
115,h bahrasemani,h bahrasemani,A5107882155,A5110576607,100
116,h bahrasemani,h bahrasemani,A5107882155,A5112345073,100
117,h bahrasemani,h bahrasemani,A5107882155,A5107895189,100
