,name1,name2,id1,id2,similarity_score
0,ahmed khalid al-rawi,ahmed al-rawi,55683085700,59265299800,79
1,sean c anderson,aspen m anderson,25930284300,57194637587,84
2,sean c anderson,sam anderson,25930284300,57204007272,81
3,mohammad akbari,mohammad amani,57212395140,56239028500,83
4,kathleen a akins,kathleen akinsc,55105815400,57216688017,90
5,oluwafemi akintola,oluwafemi s akintola,57218423351,56965067200,95
6,hossein asghari,amirhossein ansari,57194972852,59422200500,79
7,niloufar abhari,niloufar aran,58066423600,57217853663,79
8,aspen m anderson,sam anderson,57194637587,57204007272,79
9,stella atkins,m stella atkins,56654006700,7102310616,93
10,nadra ansari,neda anvari,57226561776,57216630328,78
11,éric m beauregard,eric beauregarda,17344924200,59806848700,85
12,ivan v bajic,ivan v bajjc,6602479101,59465106300,92
13,ivan v bajic,lvan v bajic,6602479101,59119893600,92
14,robert a britton,robert bittner,7101816384,57207558396,80
15,heesoon bai,beesoon bai,42760951000,57937968100,91
16,derek r bingham,derek bingham,57204216471,7004856179,93
17,nicole s berry,nicole m berg,24402486100,59751141900,81
18,david v burley,avid v burley,7004232335,57218515194,96
19,mayra donaji barrera-machuca,aldo a barrera-machuca,56452760200,57215308262,80
20,christopher t beh,christopher d bonar,6701548100,57568954200,78
21,tom c brown,tom brown,24433859000,57225808826,90
22,ollie m blake,elly m blake,35767452200,59551498500,80
23,ethan brown,sean brown,59467571400,57543086500,86
24,ivan v bajjc,lvan v bajic,59465106300,59119893600,83
25,alishba bilal,alishba bibal,58480796700,59482580700,92
26,julien chopin,julien chopinb,57195104543,59812475700,96
27,isabelle m côté,isabelle m cȏté,7005488549,58680470600,93
28,caroline colijn,caroline coljin,16416871500,57221322504,93
29,d s cross,d c cross,12645477200,58313184000,89
30,sarah l canham,rachel canham,6506306176,57222191447,81
31,alexandra b collins,cassandra collins,57189582857,58030531600,78
32,cary campbell,lara campbell,57202919677,57209555584,85
33,cary campbell,tylar campbell,57202919677,59135252300,81
34,si chen,lei chen,57200504717,56612496600,80
35,si chen,xi chen,57200504717,57464181400,86
36,si chen,siyuan chen,57200504717,59817205600,78
37,ying chen,imin chen,56040387500,35306560600,78
38,ying chen,long chen,56040387500,57202349101,78
39,ying chen,yixuan chen,56040387500,57328681600,80
40,ying chen,tian chen,56040387500,57220043419,78
41,ying chen,wuyang chen,56040387500,57214459624,80
42,ying chen,cong chen,56040387500,57221774756,78
43,ying chen,yuxi chen,56040387500,59549734700,78
44,ying chen,jing chen,56040387500,55049017000,89
45,ying chen,gang chen,56040387500,57198649249,78
46,ying chen,yiting chen,56040387500,59353414700,90
47,imin chen,zhiqin chen,35306560600,57214778958,80
48,imin chen,qimin chen,35306560600,57382754500,95
49,imin chen,tian chen,35306560600,57220043419,78
50,imin chen,aimin chen,35306560600,55447267000,95
51,imin chen,jing chen,35306560600,55049017000,78
52,imin chen,yiting chen,35306560600,59353414700,80
53,long chen,cong chen,57202349101,57221774756,89
54,long chen,jing chen,57202349101,55049017000,78
55,long chen,gang chen,57202349101,57198649249,78
56,lei chen,xi chen,56612496600,57464181400,80
57,rebecca j cobb,rebecca d cox,14059835000,30467559600,81
58,daniel h chang,daniel chiang,57211297356,58042961200,89
59,binyu chen,ziniu chen,57217236520,57432972100,80
60,binyu chen,yue chen,57217236520,57216638641,78
61,stephanie g craig,stephanie w chang,55520207400,57040127500,82
62,jiacheng chen,jing chen,57203151209,55049017000,82
63,kristin chong,christine chuong,56572138800,57917651800,83
64,yuchi chen,yuxi chen,57193485712,59549734700,84
65,yuchi chen,yue chen,57193485712,57216638641,78
66,cassandra s carroll,cassandra collins,55440932400,58030531600,78
67,leena w chau,aleena chia,56536183200,55120681800,78
68,george h cheng,george cheng,56085514500,59501786900,92
69,michelle t chan,michael chang,56714593900,57951745400,79
70,helen chong,cherlene chang,57581194600,57217373503,80
71,stephanie w chang,stephanie e cleland,57040127500,57219783123,78
72,yixuan chen,tian chen,57328681600,57220043419,80
73,yixuan chen,siyuan chen,57328681600,59817205600,82
74,dani chu,annica chu,57200559685,57197862831,78
75,qimin chen,aimin chen,57382754500,55447267000,90
76,john r calvert,john calvert,58827810200,56719213100,92
77,tian chen,anqi chen,57220043419,57219394662,78
78,tian chen,aotian chen,57220043419,59352990300,90
79,tian chen,jing chen,57220043419,55049017000,78
80,tian chen,gang chen,57220043419,57198649249,78
81,tian chen,siyuan chen,57220043419,59817205600,80
82,tian chen,yiting chen,57220043419,59353414700,80
83,anqi a chen,anqi chen,58830295700,57219394662,90
84,shuo chen,yubo chen,57842429100,57218701161,78
85,wuyang chen,zhuang chen,57214459624,57209849920,82
86,wuyang chen,gang chen,57214459624,57198649249,80
87,alexander clapp,alexander clow,56997016900,57222103241,83
88,xiaoban chen,xiaobin chang,57218999689,57222864840,80
89,xiaoban chen,aotian chen,57218999689,59352990300,78
90,alexander ciok,alexander clow,57974985600,57222103241,86
91,changan chen,zhuang chen,57219740329,57209849920,78
92,christopher l cunada,christopher l cahill,57200793821,56246965800,80
93,yu seon sarah chae,y sarah chae,59336849800,59676745300,80
94,lara campbell,tylar campbell,57209555584,59135252300,89
95,anqi chen,jiaqi chen,57219394662,58018476700,84
96,anqi chen,gang chen,57219394662,57198649249,78
97,stephanie l cooper,stephanie cooper,57821779900,59415748800,94
98,jason j chung,alison f chung,57209470116,59518222600,81
99,george chow,george cheng,57889650800,59501786900,78
100,zhefan chen,zhuang chen,57222654013,57209849920,82
101,han cao,shun cao,57216440698,58828197400,80
102,zhuang chen,gang chen,57209849920,57198649249,80
103,zhuang chen,shaohuang chen,57209849920,57226542790,80
104,jiayue chen,yue chen,57221630885,57216638641,84
105,george cheng,gene cheung,59501786900,7005809540,78
106,christopher l cahill,christophe r cantelli,56246965800,55863189900,78
107,roy carlson,roy l carlson,59807760700,7402666341,92
108,christopher r correia,christopher rj charles,58148311500,55925334100,79
109,yubo chen,yuxi chen,57218701161,59549734700,78
110,yubo chen,yue chen,57218701161,57216638641,82
111,cong chen,jing chen,57221774756,55049017000,78
112,cong chen,gang chen,57221774756,57198649249,78
113,maude comtois cabana,maude comtois-cabana,58287914600,58061917200,95
114,christine chuong,christine conlan,57917651800,57367161300,81
115,yuxi chen,yue chen,59549734700,57216638641,82
116,yuxi chen,xi chen,59549734700,57464181400,88
117,hongwen chen,bowen chen,58666893100,57219506217,82
118,avneet k chhina,navneet kaur chana,57221444667,57222558845,79
119,jeremy cheung,jeffrey cf cheung,59559800200,57224812353,80
120,jing chen,j chen,55049017000,58745556500,80
121,jing chen,gang chen,55049017000,57198649249,78
122,jing chen,yiting chen,55049017000,59353414700,80
123,hannah carpendale,sheelagh carpendale,58057749400,6507907377,78
124,michael curran,michael chang,58573541600,57951745400,81
125,t d dias do vale,t dias do vale,57201730337,57202912172,93
126,nilgun donmez,anil donmez,57211702395,57225927794,83
127,ryan cn dʼarcy,ryan cn d’arcy,7004268181,56840385400,93
128,matthew c deen,matthew c dorton,55580787900,57206727735,80
129,leith davis,leah r davis,55827058600,59014166800,78
130,a catherine d’andrea,catherine dandrea,59157783100,59814698200,92
131,thushani de silva,g lthushani de silva,57287468800,57575566400,92
132,ruizhi deng,xizi deng,57204286868,57736347300,80
133,sebastian dille,sebastian damin,57224893513,57253151600,80
134,erica dong,tea dong,58766124700,57224440277,78
135,heather de forest,heather deforest,57792002700,59373208900,97
136,siying duan,ying duan,57212346127,57203331764,90
137,lauren desouza,lauren de souza,57215934820,57214111535,97
138,maggie e duncan,maggie c duncan,59647175000,57216222262,93
139,jayson eppler,jayson epplera,55620693600,57998385200,96
140,shirin fartash fartah tolue,shirin fartash toloue,56483186100,57215828343,83
141,jennifer fang,jennifer fane,56856315600,56268773600,92
142,sheri fabian,sheryl c fabian,57194874078,58340549400,81
143,kate e fraser,kate m fraser,57220106603,57217134072,92
144,susanne w fietz,w susanne fietz,58558920700,57218855997,87
145,jingxue feng,jiuen feng,57204292684,59152182400,82
146,karen ferguson,arron ferguson,57998535800,57211241158,86
147,belén febres-cordero,belen febres-codero,57200176320,58689678000,92
148,yasasi fernando,tara fernando,58317255900,58245716100,79
149,cai mitsu feng,cai (mitsu) feng,57723250300,59173501800,93
150,nima farzaneh,s farzaneh,57442070700,57218126790,78
151,aleisha fernandes,s fernandes,57252120700,57218113455,79
152,charles harry goldsmith,charles h goldsmith,24359010500,57223164224,90
153,wei gong,ye gong,57190345166,57392372000,80
154,uwe glässer,uwe gl sser,6507645629,58990528300,91
155,rebecca gormley,becky gormley,57205404647,57214796746,79
156,christina m giovas,kristina m gicas,26429468000,56411977100,82
157,christina m giovas,christina gros,26429468000,55345450100,81
158,kristen l gray,kristen b gorman,57216797712,10041709300,80
159,yu gong,ye gong,57210636353,57392372000,86
160,samantha m gray,amanda r gray,57200762040,58870402100,79
161,spencer greening,spencer greening lagoot,57213334854,58680264800,82
162,bhargav j gadhvi,bhargav gadhavi,56582435700,57948030800,90
163,wyatt gronnemose,wyatt gronnemosea,58676962100,57997869400,97
164,matthew c go,matthew gould,57192694715,57216374639,80
165,paneet gill,pavreet k gill,57224194040,57470611400,80
166,alia gola,ali gholami,57219839063,57221636348,80
167,haiyan guo,zhiyang gu,55360826200,58763648600,80
168,wanhaoyi geng,wanhayoi geng,57220890035,59029455600,92
169,peter v hall,peter a hall,57201225750,55332947200,92
170,mohamed m hefeeda,mohamed hefeeda,20433459500,57204281290,94
171,bretislav heinrich,brett heinrich,35501028000,59837956400,81
172,michael w hart,michael d hank,55684330400,57217859478,79
173,kaisong huang,songyi huang,57233901800,57219619193,80
174,kaisong huang,hailong huang,57233901800,57192586510,85
175,nicholas harden,nicholas m hein,6701635677,55600040700,80
176,vahid hosseini,elahe hosseini,57159375700,57221477230,79
177,yutao huang,dayuan huang,57200498135,55536530700,78
178,hadi hadizadeh,atia hamidizadeh,30467616500,58100944300,80
179,jiaxiong hu,jing hu,55647123900,56593910600,78
180,kirk j hepburn,kirk hepburn,57217693682,57217055832,92
181,scott marcus harrison,scott michael harrison,57216633401,57203973831,79
182,zahra haeri,zahra haq,57209772964,57205374299,80
183,yang he,yuliang he,57219241387,57453661700,82
