,sv_name,oa_name,sv_id,oa_id,similarity_score
0,corina a andreoiu,c andreoiu,7003934114,A5006209868,100
1,alissa nicole antle,alissa n antle,15060073500,A5021991829,100
2,jonn axsen,jonn axsen,26422020300,A5090491703,100
3,ben adcock,ben adcock,26432566700,A5065352983,100
4,diana m allen,george e allen,55808760900,A5006221782,100
5,diana m allen,ryan w allen,55808760900,A5039444427,100
6,lara b aknin,lara b aknin,23984324100,A5027537535,100
7,sean c anderson,gail s anderson,25930284300,A5046194198,100
8,douglas w allen,george e allen,7404328223,A5006221782,100
9,douglas w allen,ryan w allen,7404328223,A5039444427,100
10,gail s anderson,gail s anderson,7404223891,A5046194198,100
11,mohammad hsharifzadeh amin,m h s amin,57209051505,A5112270021,100
12,juan josé alava,juan josé alava,12139754400,A5075325298,100
13,mohammad akbari,mohsen akbari,57212395140,A5039506035,100
14,taylor m anderson,gail s anderson,56902130900,A5046194198,100
15,leif stefan anderson,gail s anderson,57220763731,A5046194198,100
16,shelbie f anderson,gail s anderson,57207959600,A5046194198,100
17,aspen m anderson,gail s anderson,57194637587,A5046194198,100
18,sam anderson,gail s anderson,57204007272,A5046194198,100
19,joshua m allen,george e allen,57754793200,A5006221782,100
20,joshua m allen,ryan w allen,57754793200,A5039444427,100
21,willow samara allen,george e allen,57210116155,A5006221782,100
22,willow samara allen,ryan w allen,57210116155,A5039444427,100
23,shahrazad amin,m h s amin,58793840600,A5112270021,100
24,alireza akbari,mohsen akbari,58906713600,A5039506035,100
25,mohsen akbari,mohsen akbari,57218664466,A5039506035,100
26,george e allen,george e allen,58420270400,A5006221782,100
27,george e allen,ryan w allen,58420270400,A5039444427,100
28,ryan w allen,george e allen,57203292425,A5006221782,100
29,ryan w allen,ryan w allen,57203292425,A5039444427,100
30,benjamin anderson,gail s anderson,57373810700,A5046194198,100
31,jackson carl burzynski,jackson carl burzynski,57210335824,A5107903626,100
32,éric m beauregard,éric beauregard,17344924200,A5059754376,100
33,martin bouchard,martin bouchard,35943405400,A5103242379,100
34,behraad bahreyni,behraad bahreyni,7801341985,A5014284015,100
35,robert a britton,robert britton,7101816384,A5014010162,100
36,fiona sl l brinkman,fiona s l brinkman,7003805233,A5050197558,100
37,t m bubela,tania bubela,6508289453,A5089546614,100
38,john r best,john r best,34771258200,A5035542400,100
39,lyn r bartram,lyn bartram,6602174809,A5084098357,100
40,felix j breden,felix breden,6701607469,A5087576955,100
