sv_name,oa_name,sv_id,oa_id,similarity_score
kirsten zickfeld,kirsten zickfeld,23010937900,A5032945153,100
hao zhang,hao zhang,59130540100,A5100397026,100
rina zazkis,rina zazkis,6602957344,A5009772411,100
jackson carl burzynski,jackson carl burzynski,57210335824,A5107903626,100
ryan w allen,ryan w allen,57203292425,A5039444427,100
george e allen,george e allen,58420270400,A5006221782,100
mohsen akbari,mohsen akbari,57218664466,A5039506035,100
robert n young,robert n young,57188789416,A5063566841,100
mark l winston,mark l winston,57226099065,A5105987469,100
alex i wiesman,alex i wiesman,57094179900,A5072572408,100
neil v watson,neil v watson,7201757542,A5083353743,100
stephen c wright,stephen c wright,57211220396,A5042007466,100
vance e williams,vance e williams,7102894408,A5010948237,100
philip h winne,philip h winne,6701806415,A5069400021,100
jennifer s wong,jennifer s wong,55768611600,A5018101953,100
james m wakeling,james m wakeling,7004442395,A5058897622,100
charlotte waddell,charlotte waddell,7005782714,A5086742456,100
ron wakkary,ron wakkary,9633977700,A5075208287,100
nicholas vincent,nicholas vincent,57202044868,A5070837664,100
nicole s berry,nicole s berry,24402486100,A5062493243,100
joão luiz bastos,joão luiz bastos,12445265000,A5076619980,100
neil r branda,neil r branda,7003596071,A5052954758,100
john r best,john r best,34771258200,A5035542400,100
behraad bahreyni,behraad bahreyni,7801341985,A5014284015,100
martin bouchard,martin bouchard,35943405400,A5103242379,100
jeremy g venditti,jeremy g venditti,9635296900,A5073047882,100
david j vocadlo,david j vocadlo,6603569792,A5078248083,100
rodney g vaughan,rodney g vaughan,7201481830,A5078752648,100
alberto toscano,alberto toscano,18134405700,A5082179421,100
kouhyar tavakolian,kouhyar tavakolian,6505837295,A5043387812,100
andrea tagliasacchi,andrea tagliasacchi,25123272600,A5037094498,100
allen e thornton,allen e thornton,7101607212,A5018971948,100
tim k takaro,tim k takaro,7006248568,A5043405314,100
jason r smith,jason r smith,59277392100,A5061800498,100
derek bingham,derek bingham,7004856179,A5060689409,100
sharon bailin,sharon bailin,14633186200,A5091037473,100
david v burley,david v burley,7004232335,A5062789412,100
ellen balka,ellen balka,55928456100,A5021049120,100
william a scott,william a scott,57651636000,A5001064251,100
xiangyu sun,xiangyu sun,57218847212,A5060002954,100
kelly shen,kelly shen,56221694300,A5006850713,100
dan a simunic,dan a simunic,8409667000,A5053025790,100
shawn sederberg,shawn sederberg,26530555600,A5090840537,100
charles scott,charles scott,56898175500,A5039664215,100
stanley j shapiro,stanley j shapiro,19036498100,A5027605617,100
samira siahrostami,samira siahrostami,25224903500,A5003552620,100
hitoshi shigeoka,hitoshi shigeoka,55577057400,A5004905714,100
jamie k scott,jamie k scott,57206879375,A5045141972,100
thomas m spalek,thomas m spalek,57188544618,A5081614066,100
igor shinkar,igor shinkar,36618065800,A5028165107,100
kathleen l slaney,kathleen l slaney,8846291600,A5057464549,100
arrvindh shriraman,arrvindh shriraman,9733162900,A5035046431,100
elizabeth bishop,elizabeth bishop,59705974700,A5111051453,100
daniel m bernstein,daniel m bernstein,7401750083,A5078816085,100
dipankar sen,dipankar sen,7202365161,A5080345112,100
carolyn j sparrey,carolyn j sparrey,25932455000,A5053703719,100
manolis savva,manolis savva,47962533500,A5091765070,100
xiaowei song,xiaowei song,10239235900,A5036261443,100
lesley shannon,lesley shannon,8618963200,A5062627025,100
tim b swartz,tim b swartz,7004425355,A5051510373,100
david a sivak,david a sivak,22235855500,A5005809960,100
thecla schiphorst,thecla schiphorst,6506745859,A5046467699,100
tim storr,tim storr,6507171966,A5029358178,100
julian m somers,julian m somers,8071300500,A5083672700,100
will small,will small,7102197020,A5042673268,100
theodore d cosco,theodore d cosco,55948960700,A5068364602,100
bernard j crespi,bernard j crespi,7006487408,A5089912926,100
jiguo cao,jiguo cao,14622304000,A5062483690,100
isabelle m côté,isabelle m côté,7005488549,A5048073547,100
julien chopin,julien chopin,57195104543,A5088922176,100
valorie a crooks,valorie a crooks,35585107800,A5057868506,100
andrew j bennet,andrew j bennet,7005018312,A5064385050,100
zabrina l brumme,zabrina l brumme,57204349045,A5054186329,100
arthur j robson,arthur j robson,7102089902,A5032114320,100
