sv_name,oa_name,sv_id,oa_id,sv_pubs,oa_pubs,sv_cited,oa_cited,similarity_score
kirsten zickfeld,kirsten zickfeld,23010937900,A5032945153,39,172,2128,8984,100
hao zhang,hao zhang,59130540100,A5100397026,40,1370,624,63147,100
rina zazkis,rina zazkis,6602957344,A5009772411,50,220,357,3736,100
jackson carl burzynski,jackson carl burzynski,57210335824,A5107903626,274,191,3325,2965,100
ryan w allen,ryan w allen,57203292425,A5039444427,44,125,2434,5183,100
george e allen,george e allen,58420270400,A5006221782,1,128,1,5487,100
mohsen akbari,mohsen akbari,57218664466,A5039506035,1,246,1,11624,100
robert n young,robert n young,57188789416,A5063566841,31,244,1254,9023,100
mark l winston,mark l winston,57226099065,A5105987469,2,156,11,9360,100
alex i wiesman,alex i wiesman,57094179900,A5072572408,7,128,8,2657,100
neil v watson,neil v watson,7201757542,A5083353743,23,151,580,3911,100
stephen c wright,stephen c wright,57211220396,A5042007466,29,145,965,9990,100
vance e williams,vance e williams,7102894408,A5010948237,36,139,293,1624,100
philip h winne,philip h winne,6701806415,A5069400021,47,275,1629,19635,100
jennifer s wong,jennifer s wong,55768611600,A5018101953,54,158,492,1037,100
james m wakeling,james m wakeling,7004442395,A5058897622,62,180,1354,7869,100
charlotte waddell,charlotte waddell,7005782714,A5086742456,72,132,2330,4905,100
ron wakkary,ron wakkary,9633977700,A5075208287,88,232,2020,4916,100
nicholas vincent,nicholas vincent,57202044868,A5070837664,3,244,2,915,100
nicole s berry,nicole s berry,24402486100,A5062493243,21,77,255,839,100
joão luiz bastos,joão luiz bastos,12445265000,A5076619980,21,274,49,9453,100
neil r branda,neil r branda,7003596071,A5052954758,23,177,380,9161,100
john r best,john r best,34771258200,A5035542400,39,287,270,10622,100
behraad bahreyni,behraad bahreyni,7801341985,A5014284015,71,152,681,1824,100
martin bouchard,martin bouchard,35943405400,A5103242379,74,175,1048,3372,100
jeremy g venditti,jeremy g venditti,9635296900,A5073047882,84,249,1930,4930,100
david j vocadlo,david j vocadlo,6603569792,A5078248083,93,294,4578,16437,100
rodney g vaughan,rodney g vaughan,7201481830,A5078752648,109,322,474,6450,100
alberto toscano,alberto toscano,18134405700,A5082179421,9,197,6,2046,100
kouhyar tavakolian,kouhyar tavakolian,6505837295,A5043387812,26,174,439,3302,100
andrea tagliasacchi,andrea tagliasacchi,25123272600,A5037094498,35,166,1448,7362,100
allen e thornton,allen e thornton,7101607212,A5018971948,57,147,813,4741,100
tim k takaro,tim k takaro,7006248568,A5043405314,83,196,3127,5280,100
jason r smith,jason r smith,59277392100,A5061800498,9,57,163,3116,100
derek bingham,derek bingham,7004856179,A5060689409,5,116,319,2344,100
sharon bailin,sharon bailin,14633186200,A5091037473,8,95,41,2151,100
david v burley,david v burley,7004232335,A5062789412,18,111,285,2722,100
ellen balka,ellen balka,55928456100,A5021049120,19,148,234,1738,100
william a scott,william a scott,57651636000,A5001064251,3,76,3,1963,100
