,name1,name2,id1,id2,similarity_score
0,ryan w allen,ryan w allen,57203292425,8866069700,100
1,m stella atkins,m stella atkins,7102310616,57026369400,100
2,muhammad asjad,muhammad asjad,58754889500,50961023600,100
3,sonia s anand,sonia s anand,7201522674,7201522674,100
4,benjamin anderson,benjamin anderson,57373810700,58528712300,100
5,anna appah,anna appah,58082633900,58082633900,100
6,jean julien aucouturier,jean julien aucouturier,9943558100,9943558100,100
7,jean julien aucouturier,jean julien aucouturier,9943558100,9943558100,100
8,jean julien aucouturier,jean julien aucouturier,9943558100,9943558100,100
9,quentin buat,quentin buat,54960950200,57451427600,100
10,zabrina l brumme,zabrina l brumme,57204349045,57204349045,100
11,andrew j bennet,andrew j bennet,7005018312,57216608020,100
12,binay k bhattacharya,binay k bhattacharya,55432626900,56211243300,100
13,john bechhoefer,john bechhoefer,57216378534,6603749445,100
14,lynne s bell,lynne s bell,56183195000,8631251400,100
15,matthew j basso,matthew j basso,57211851570,57211851570,100
16,evan barad,evan barad,58010637000,58010637000,100
17,helen bailey,helen bailey,56284409700,59011690300,100
18,emily barr,emily barr,58062354400,57897876700,100
19,t bruhn,t bruhn,57189372143,57189372143,100
20,michael owusu budu,michael owusu budu,57224167712,57224167712,100
21,sarah m bradwell,sarah m bradwell,59508319600,59508319600,100
22,karen e bremner,karen e bremner,35329048800,35329048800,100
23,nic bacani,nic bacani,57202377672,57202377672,100
24,j chen,j chen,58745556500,57224917293,100
25,j chen,j chen,58745556500,55717843100,100
26,j chen,j chen,58745556500,59637110900,100
27,sheelagh carpendale,sheelagh carpendale,6507907377,57521262100,100
28,gang chen,gang chen,57198649249,57226821188,100
29,teresa pl cheung,teresa pl cheung,23988370900,23988370900,100
30,peter k cheung,peter k cheung,7202595396,7202595396,100
31,shaohuang chen,shaohuang chen,57226542790,57226542790,100
32,kyle d cobarrubias,kyle d cobarrubias,56974429000,56974429000,100
33,xi chen,xi chen,57464181400,57221569013,100
34,j chen,j chen,57224917293,55717843100,100
35,j chen,j chen,57224917293,59637110900,100
36,siyuan chen,siyuan chen,59817205600,57225130528,100
37,yiting chen,yiting chen,59353414700,58484321900,100
38,bowen chen,bowen chen,57219506217,57224484972,100
39,j chen,j chen,55717843100,59637110900,100
40,sarah r dunsiger,sarah r dunsiger,6701500745,6701500745,100
41,barry s davids,barry s davids,7003344594,7003344594,100
42,maggie c duncan,maggie c duncan,57216222262,57216222262,100
43,ying duan,ying duan,57203331764,59721158900,100
44,katerina dolguikh,katerina dolguikh,57216634971,57216634971,100
45,xuezhi du,xuezhi du,58616170400,59767531500,100
46,russell j de souza,russell j de souza,7102470762,7102470762,100
47,j fernandez-tejero,j fernandez-tejero,56418611300,56418611300,100
48,farid golnaraghi,farid golnaraghi,7003988491,58911336300,100
49,g greig,g greig,57205908200,57205908200,100
50,aivija grundmane,aivija grundmane,58402628900,58402628900,100
51,kaley lexi gower-fry,kaley lexi gower-fry,57390591500,57390591500,100
52,elizabeth guinto,elizabeth guinto,57211956428,57211956428,100
53,rajiv gandhi,rajiv gandhi,23491896500,23491896500,100
54,robert s hogg,robert s hogg,7201804367,7201804367,100
55,william wl hsiao,william wl hsiao,34979903200,58037208100,100
56,f pjake haeckl,f pjake haeckl,56134971900,56134971900,100
57,k a hudson,k a hudson,57208184515,57208184515,100
58,xiangpeng hao,xiangpeng hao,57214853828,59437243000,100
59,k h hudson,k h hudson,59803235800,59803235800,100
60,christian hui,christian hui,59098924300,59098924300,100
61,kirsty hird,kirsty hird,57297766200,57297766200,100
62,kenneth c huellas-bruskiewicz,kenneth c huellas-bruskiewicz,57221346980,57221346980,100
63,kenneth c huellas-bruskiewicz,kenneth c huellas-bruskiewicz,57221346980,57221346980,100
64,kenneth c huellas-bruskiewicz,kenneth c huellas-bruskiewicz,57221346980,57221346980,100
65,f harrison omondi,f harrison omondi,57475175200,57475175200,100
66,saeed izadi,saeed izadi,54585264200,58616381100,100
67,julie jesson,julie jesson,56587645600,56587645600,100
68,laura b jones,laura b jones,58329027300,57212230942,100
69,natalie n kinloch,natalie n kinloch,57115215400,57115215400,100
70,katherine w kooij,katherine w kooij,56509469100,56509469100,100
71,kenji l kurita,kenji l kurita,56575966800,56575966800,100
72,katrina koehn,katrina koehn,57209116896,57209116896,100
73,alex king,alex king,59147557700,59452065700,100
74,amirreza kazemi,amirreza kazemi,58823133100,59433558600,100
75,murray d krahn,murray d krahn,7005004050,7005004050,100
76,c peter keller,c peter keller,59315845200,57557110200,100
77,farah khan,farah khan,57193911600,57193911600,100
78,ayelet kuper,ayelet kuper,24587079500,24587079500,100
79,girish s kulkarni,girish s kulkarni,57202451461,57202451461,100
80,zainab khan,zainab khan,59053442600,59053442600,100
81,bruce p lanphear,bruce p lanphear,7006082907,57664654000,100
82,roger g linington,roger g linington,6508105568,57555734200,100
83,jing li,jing li,57216939987,57200374997,100
84,lun li,lun li,57211233276,57259566200,100
85,ke li,ke li,57199453570,58622215700,100
