OpenAlex ID,ORCID,Name,Alt Names,Publications,Citations,h-index,Number of Institutions,Topic,first_names,last_name,last_init,name_raw,id,fi_ln
A5012451717,https://orcid.org/0000-0002-2613-9321,M. Williams,"['M C Williams', 'M Williams', 'M. C. S. Williams', 'M. C. Williams', 'M. Williams', 'M.C. Williams', 'M.C.S. Williams', 'Matthew C. Williams', 'Matthew Williams', 'Williams, M.', 'Williams, Matthew C.']",73,1696,18,16,Physical Sciences,m.,williams,w,m. williams,A5012451717,m williams
A5051528851,https://orcid.org/0000-0001-7391-9403,A Calahorrano-Di Patre,"['A Calahorrano-Di\nPatre', 'A Calahorrano-Di Patre', 'A. Calahorrano-Di Patre', 'Antonina Calahorrano', 'Antonina Calahorrano-Di Patre', 'Antonina Calahorrano‐Di Patre']",9,47,4,3,Physical Sciences,a calahorrano-di,patre,p,a calahorrano-di patre,A5051528851,a patre
A5110631057,,Steven Bergner,"['Bergner, Steven', 'Steven Bergner']",21,487,9,3,Physical Sciences,steven,bergner,b,steven bergner,A5110631057,s bergner
A5114395731,,Ashwin Samudre,"['Ashwin Samudre', 'Samudre, Ashwin']",1,0,0,1,Physical Sciences,ashwin,samudre,s,ashwin samudre,A5114395731,a samudre
A5052216983,,Yani Kong,['Yani Kong'],2,2,1,1,Physical Sciences,yani,kong,k,yani kong,A5052216983,y kong
A5076084094,https://orcid.org/0000-0002-8772-5770,Saeed Ranjbar Alvar,"['Alvar, Saeed R.', 'Alvar, Saeed Ranjbar', 'Ranjbar Alvar, Saeed', 'Saeed Ranjbar Alvar']",37,208,8,4,Physical Sciences,saeed ranjbar,alvar,a,saeed ranjbar alvar,A5076084094,s alvar
A5005912029,https://orcid.org/0000-0002-5812-7798,Emma Rodrigues,['Emma Rodrigues'],8,120,3,3,Health Sciences,emma,rodrigues,r,emma rodrigues,A5005912029,e rodrigues
A5112603217,,Zach Walsh,"['Walsh, Zach', 'Z. Walsh', 'Zach Walsh']",136,4951,40,19,Social Sciences,zach,walsh,w,zach walsh,A5112603217,z walsh
A5119426588,,Neda Zolfaghari,['Neda Zolfaghari'],1,1,1,1,Health Sciences,neda,zolfaghari,z,neda zolfaghari,A5119426588,n zolfaghari
A5113564764,,Kristin Bosse,"['Bosse, Kristin', 'K BOSSE', 'K Bosse', 'K. Bosse', 'Kristin A. Bosse', 'Kristin Bosse']",60,996,16,14,Life Sciences,kristin,bosse,b,kristin bosse,A5113564764,k bosse
A5020559144,,Malcolm King,"['M. J. King', 'Malcolm King']",8,22,2,3,Social Sciences,malcolm,king,k,malcolm king,A5020559144,m king
