Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile,Primary author affiliation*,last_name,last_init,first_names,name_raw,potential_matches,fi_ln
"Mori, D.",665,2025,39801,59.9,3.67,95,56779709600,https://www.scopus.com/authid/detail.url?authorId=56779709600,Simon Fraser University,mori,m,d,d mori,[],d mori
"van Nieuwkoop, J.",559,2023,42827,76.6,4.57,108,55573054900,https://www.scopus.com/authid/detail.url?authorId=55573054900,Simon Fraser University,van nieuwkoop,v,j,j van nieuwkoop,[],j van nieuwkoop
"Bahrasemani, H.",466,2025,26153,56.1,3.44,86,57194525595,https://www.scopus.com/authid/detail.url?authorId=57194525595,Simon Fraser University,bahrasemani,b,h,h bahrasemani,[],h bahrasemani
"Danninger, Matthias",424,2025,8812,20.8,2.44,110,26221746900,https://www.scopus.com/authid/detail.url?authorId=26221746900,Simon Fraser University,danninger,d,matthias,matthias danninger,[],m danninger
"Jaeger, B. P.",423,2025,12685,30.0,2.85,55,57210340534,https://www.scopus.com/authid/detail.url?authorId=57210340534,Simon Fraser University,jaeger,j,b p,b p jaeger,[],b jaeger
"Drechsler, E.",359,2025,14113,39.3,3.18,99,56611843700,https://www.scopus.com/authid/detail.url?authorId=56611843700,Simon Fraser University,drechsler,d,e,e drechsler,[],e drechsler
"Dreyer, Etienne",359,2025,18835,52.5,3.32,75,57189975589,https://www.scopus.com/authid/detail.url?authorId=57189975589,Weizmann Institute of Science,dreyer,d,etienne,etienne dreyer,[],e dreyer
"Temple, D.",313,2023,21763,69.5,4.01,80,56893265300,https://www.scopus.com/authid/detail.url?authorId=56893265300,Simon Fraser University,temple,t,d,d temple,[],d temple
"Menon, Carlo",215,2025,4370,20.3,1.25,46,23989261600,https://www.scopus.com/authid/detail.url?authorId=23989261600,Swiss Federal Institute of Technology Zurich,menon,m,carlo,carlo menon,[],c menon
"Hayashi, Kanna",191,2025,2346,12.3,1.03,32,33267650300,https://www.scopus.com/authid/detail.url?authorId=33267650300,Simon Fraser University,hayashi,h,kanna,kanna hayashi,[],k hayashi
"Andreoiu, Corina A.",157,2025,1764,11.2,0.69,32,7003934114,https://www.scopus.com/authid/detail.url?authorId=7003934114,Simon Fraser University,andreoiu,a,corina a,corina a andreoiu,[],c andreoiu
"Pitt, Leyland F.",141,2025,3224,22.9,1.94,50,7005227018,https://www.scopus.com/authid/detail.url?authorId=7005227018,Simon Fraser University,pitt,p,leyland f,leyland f pitt,[],l pitt
"Holdcroft, Steven J.",138,2025,6025,43.7,1.8,72,7004469945,https://www.scopus.com/authid/detail.url?authorId=7004469945,Simon Fraser University,holdcroft,h,steven j,steven j holdcroft,[],s holdcroft
"Sarunic, Marinko V.",127,2024,3024,23.8,1.44,43,6508176087,https://www.scopus.com/authid/detail.url?authorId=6508176087,University College London,sarunic,s,marinko v,marinko v sarunic,[],m sarunic
"Mohar, Bojan",104,2025,677,6.5,0.83,33,24480096600,https://www.scopus.com/authid/detail.url?authorId=24480096600,Simon Fraser University,mohar,m,bojan,bojan mohar,[],b mohar
"Moore, Jonathan W.",96,2025,2866,29.9,1.35,36,7405239862,https://www.scopus.com/authid/detail.url?authorId=7405239862,Simon Fraser University,moore,m,jonathan w,jonathan w moore,[],j moore
"Sheppard, D. J.",93,2025,245,2.6,1.23,7,58638292100,https://www.scopus.com/authid/detail.url?authorId=58638292100,Simon Fraser University,sheppard,s,d j,d j sheppard,[],d sheppard
"Vocadlo, David J.",93,2025,4578,49.2,1.62,59,6603569792,https://www.scopus.com/authid/detail.url?authorId=6603569792,Simon Fraser University,vocadlo,v,david j,david j vocadlo,[],d vocadlo
"Peacock, Stuart J.",91,2025,2164,23.8,1.72,38,55785767800,https://www.scopus.com/authid/detail.url?authorId=55785767800,Simon Fraser University,peacock,p,stuart j,stuart j peacock,[],s peacock
"Brooks-Wilson, Angela R.",90,2025,4747,52.7,1.82,54,6701511300,https://www.scopus.com/authid/detail.url?authorId=6701511300,Simon Fraser University,brooks-wilson,b,angela r,angela r brooks-wilson,[],a brooks-wilson
"Vale, Tiago Dias Do",84,2025,967,11.5,2.01,37,57203328885,https://www.scopus.com/authid/detail.url?authorId=57203328885,Simon Fraser University,vale,v,tiago dias do,tiago dias do vale,[],t vale
