,SciVal Title,SciVal DOI,SciVal Citations,OpenAlex Title,OpenAlex DOI,OpenAlex Citations
0,Muon Spin Spectroscopy: Methods and Applications in Chemistry and Materials Science,0,9.0,,,
1,Comparison of fast switching high current power devices,0,5.0,,,
2,"THE IMPACT OF RELATIVE WHEEL-RAIL HARDNESS ON RCF, PLASTIC FLOW, AND RAIL GRINDING",0,2.0,,,
3,Gamma irradiation of ATLAS18 ITk strip sensors affected by static charge,0,1.0,,,
4,A BRIEF HISTORY OF WHEEL-RAIL FRICTION MANAGEMENT,0,1.0,,,
5,Low-cost Manufacturing and Testing of Attitude Control Systems for CubeSats,0,0.0,,,
6,Nanolayer Laser Absorber for Femtoliter Chemistry in Polymer Reactors,10.1002/adma.202108493,19.0,,,
7,3D Origami Sensing Robots for Cooperative Healthcare Monitoring,10.1002/admt.202000938,41.0,,,
8,Direct Photolithographic Deposition of Color-Coded Anti-Counterfeit Patterns with Titania Encapsulated Upconverting Nanoparticles,10.1002/adom.202000664,18.0,,,
9,Solution-Based Integration of Vertically Stacked Organic Photodetectors Toward Easy-To-Fabricate Filterless Multi-Color Light Sensors,10.1002/adom.202200862,14.0,,,
10,Health-related quality of life in oncology drug reimbursement submissions in Canada: A review of submissions to the pan-Canadian Oncology Drug Review,10.1002/cncr.32455,17.0,,,
11,Electrodeposition of PdPt Nanoparticles on Edges and S-Vacancies in Exfoliated MoS2 Nanosheets for Enhanced Hydrogen Evolution Activity,10.1002/cssc.202301922,8.0,,,
12,A systematic review of agouti (Dasyproctidae: Dasyprocta) records from the pre-1492 Lesser Antilles: New perspectives on an introduced commensal,10.1002/oa.2987,7.0,,,
13,Cytosolic Calcium Measurement Utilizing a Single-Cell Biochip to Study the Effect of Curcumin and Resveratrol on a Single Glioma Cell,10.1007/978-1-0716-3323-6_2,0.0,,,
14,3D Human Shape Reconstruction from a Polarization Image,10.1007/978-3-030-58568-6_21,44.0,,,
15,Demography and Digital Transformation in Japan,10.1007/978-981-99-0321-4_11,1.0,,,
16,Modeling and optimization of height-related geometrical parameters for thin wall structures manufactured by metal additive manufacturing,10.1007/s00170-023-12618-0,9.0,,,
17,An Investigation of the Factors Controlling the Mechanical Behaviour of Slender Naturally Fractured Pillars,10.1007/s00603-020-02203-2,6.0,,,
18,Using pre-failure and post-failure remote sensing data to constrain the three-dimensional numerical model of a large rock slope failure,10.1007/s10346-020-01552-x,28.0,,,
19,"Understanding the failure mechanisms of the 2017 Santa Lucía landslide, Patagonian Andes, using remote sensing and 3D numerical modelling techniques",10.1007/s10346-024-02346-1,4.0,,,
20,A bi˗objective hub location-allocation model considering congestion,10.1007/s12351-018-0404-3,9.0,,,
21,Emerging wearable flexible sensors for sweat analysis,10.1007/s42242-021-00171-2,63.0,,,
22,Kinematic and Dynamic Analysis of a Compliant Mechanism to Generate Different Flapping-Wing Paths Based on Vibration Characteristics,10.1007/s42417-022-00791-7,1.0,,,
23,Organic photodetectors,10.1016/B978-0-08-102795-0.00003-7,4.0,,,
24,Mechanical properties of two-dimensional materials: Atomistic modeling and future directions,10.1016/B978-0-12-818475-2.00002-7,5.0,,,
25,"Piezoelectric and ferroelectric materials: Fundamentals, recent progress, and applications",10.1016/B978-0-12-823144-9.00069-8,17.0,,,
26,"Economic, business, technical, and commercialization hindrances for the polymer electrolyte membrane fuel cell",10.1016/B978-0-12-823708-3.00002-X,17.0,,,
27,Advanced modifications in nonnoble materials for proton exchange membrane,10.1016/B978-0-12-823708-3.00005-5,0.0,,,
28,Multidisciplinary Microfluidic and Nanofluidic Lab-on-a-Chip: Principles and Applications,10.1016/B978-0-444-59432-7.00020-0,6.0,,,
29,Removing lead from the global economy,10.1016/S2542-5196(24)00244-4,14.0,,,
30,Modeling the thermal and hydrodynamic performance of grooved wick flat heat pipes,10.1016/j.applthermaleng.2024.124281,7.0,,,
31,Design and fabrication of flexible strain sensor based on ZnO-decorated PVDF via atomic layer deposition,10.1016/j.apsusc.2021.150126,31.0,,,
32,Morphometric and proteomic responses of early-life stage rainbow trout (Oncorhynchus mykiss) to the aquatic herbicide diquat dibromide,10.1016/j.aquatox.2020.105446,26.0,,,
33,"Toxicity of the aquatic herbicide, reward®, on the fathead minnow with pulsed-exposure proteomic profile",10.1016/j.cbd.2019.100635,4.0,,,
34,Cannabis use is associated with reduced risk of exposure to fentanyl among people on opioid agonist therapy during a community-wide overdose crisis,10.1016/j.drugalcdep.2020.108420,20.0,,,
35,Elevated prevalence of self-reported unintentional exposure to fentanyl among women who use drugs in a Canadian setting: A cross-sectional analysis,10.1016/j.drugpo.2020.102864,13.0,,,
36,An updated systematic review and meta-analysis on portable air cleaners and blood pressure: Recommendations for users and manufacturers,10.1016/j.ecoenv.2023.115227,22.0,,,
37,A learning-based metaheuristic for a multi-objective agile inspection planning model under uncertainty,10.1016/j.ejor.2020.01.061,37.0,,,
38,Electrocatalytic oxygen reduction reaction on iron phthalocyanine-modified carbide-derived carbon/carbon nanotube composite electrocatalysts,10.1016/j.electacta.2019.135575,64.0,,,
39,"Erratum to “Design, simulation, and validation of additively manufactured high-temperature combustion chambers for micro gas turbines” [Energy Convers. Manage., 248 (2021) 114805](S019689042100981X)(10.1016/j.enconman.2021.114805)",10.1016/j.enconman.2022.115573,0.0,,,
40,A new first-principles model to predict mild and deep surge for a centrifugal compressor,10.1016/j.energy.2021.123050,22.0,,,
41,Fault controls on spatial variation of fracture density and rock mass strength within the Yarlung Tsangpo Fault damage zone (southeastern Tibet),10.1016/j.enggeo.2021.106238,33.0,,,
42,Strategically releasing control: Navigating the complexities of enabling category captains,10.1016/j.indmarman.2020.07.004,2.0,,,
43,"Petrographic analysis of Pre-Columbian pottery from Nevis, Eastern Caribbean",10.1016/j.jasrep.2020.102741,7.0,,,
44,Evaluating manufacture marks on ground stone objects as a new proxy for the spread of metal technology in the southern Levant,10.1016/j.jasrep.2021.103233,1.0,,,
45,Iron and cobalt phthalocyanine embedded electrospun carbon nanofiber-based catalysts for anion exchange membrane fuel cell cathode,10.1016/j.jcat.2023.04.008,26.0,,,
46,Differentiation of Nanoparticles Isolated from Distinct Plant Species Naturally Growing in a Heavy Metal Polluted Site,10.1016/j.jhazmat.2019.121644,20.0,,,
47,Online thermal field prediction for metal additive manufacturing of thin walls,10.1016/j.jmapro.2023.11.007,7.0,,,
48,Thermally robust synthetic antiferromagnetic fixed layers containing FeCoB for use in STT-MRAM devices,10.1016/j.jmmm.2021.168646,4.0,,,
49,In-situ diagnostic tools for hydrogen transfer leak characterization in PEM fuel cell stacks part III: Manufacturing applications,10.1016/j.jpowsour.2019.227359,18.0,,,
50,Impacts of cathode catalyst layer defects on performance and durability in PEM fuel cells,10.1016/j.jpowsour.2023.233565,17.0,,,
51,"Effects of the Elevation Training Mask® 2.0 on dyspnea and respiratory muscle mechanics, electromyography, and fatigue during exhaustive cycling in healthy humans",10.1016/j.jsams.2021.08.022,11.0,,,
52,Synthesis and characterization of iQC Al13Cr2 phase single crystal,10.1016/j.matlet.2022.132861,0.0,,,
53,Maximizing the transport properties of two-dimensional fibrous materials,10.1016/j.mtcomm.2022.103897,0.0,,,
54,Lighting the future: Perovskite nanorods and their advances across applications,10.1016/j.nanoen.2024.109504,47.0,,,
55,Understanding radioactive ion beam production at ISAC through yield measurements and simulations,10.1016/j.nimb.2023.05.012,1.0,,,
56,Recent upgrades and developments at TRIUMF's laser nuclear-spin-polarization facility,10.1016/j.nimb.2023.05.041,5.0,,,
57,A Rapid and Sensitive Nucleic Acid Amplification Technique for Mycoplasma Screening of Cell Therapy Products,10.1016/j.omtm.2020.01.009,22.0,,,
58,Selective B cell depletion upon intravenous infusion of replication-incompetent anti-CD19 CAR lentivirus,10.1016/j.omtm.2022.05.006,10.0,,,
59,Pre-contact adaptations to the Little Ice Age in Southwest Alaska: New evidence from the Nunalleq site,10.1016/j.quaint.2019.05.003,15.0,,,
60,Instability of dye-sensitized solar cells using natural dyes and approaches to improving stability – An overview,10.1016/j.seta.2022.102196,51.0,,,
61,"Export market relatedness, geographical diversification and regional export growth in China",10.1016/j.strueco.2023.09.004,6.0,,,
62,Simulating automakers’ response to zero emissions vehicle regulation,10.1016/j.trd.2021.102789,20.0,,,
63,Addressing perceptions regarding the influence of relative hardness on wheel/rail performance,10.1016/j.wear.2023.205225,3.0,,,
64,Restricting trade and reducing variety: Evidence from Ethiopia,10.1016/j.worlddev.2019.104695,3.0,,,
65,Economic Prehistory: Six Transitions That Shaped the World,10.1017/9781108878142,17.0,,,
66,Trade and Immigration,10.1017/9781316671603.018,1.0,,,
67,Artificial Xylem Chip: A Three-Dimensionally Printed Vertical Digital Microfluidic Platform,10.1021/acs.langmuir.0c02868,14.0,,,
68,Highly Conductive 3D Printable Materials for 3D Structural Electronics,10.1021/acsaelm.1c00296,35.0,,,
69,Tailoring Plasmonic Fields with Shape-Controlled Single-Crystal Gold Metasurfaces,10.1021/acsami.3c17745,3.0,,,
70,Microscale Contacts for Nanowire Characterization Using Microscope Projection Photolithography,10.1021/acsanm.4c00173,2.0,,,
71,Effect of IrO6 Octahedron Distortion on the OER Activity at (100) IrO2 Thin Film,10.1021/acscatal.9b04347,70.0,,,
72,NP Analyst: An Open Online Platform for Compound Activity Mapping,10.1021/acscentsci.1c01108,44.0,,,
73,Single Nanoflake Hexagonal Boron Nitride Harmonic Generation with Ultralow Pump Power,10.1021/acsphotonics.1c00525,10.0,,,
74,An α-chloroaldehyde-based formal synthesis of eribulin,10.1038/s41467-023-37346-7,7.0,,,
75,On-demand electrical control of spin qubits,10.1038/s41565-022-01280-4,41.0,,,
76,Optical observation of single spins in silicon,10.1038/s41586-022-04821-y,142.0,,,
77,"Optimized production, purification, and radiolabeling of the 203Pb/212Pb theranostic pair for nuclear medicine",10.1038/s41598-023-37313-8,24.0,,,
78,Muon spin spectroscopy,10.1038/s43586-021-00089-0,90.0,,,
79,Physical supercritical fluid deposition of polymer films: controlling the crystallinity with pressure,10.1039/d0qm00403k,5.0,,,
80,The role of solvent additive in polymer crystallinity during physical supercritical fluid deposition,10.1039/d1nj00362c,3.0,,,
81,Expanding the PET radioisotope universe utilizing solid targets on small medical cyclotrons,10.1039/d1ra04480j,17.0,,,
82,Room temperature hydrogen storage enhancement in copper-doped zeolitic imidazolate frameworks with trioctylamine,10.1039/d3se00277b,18.0,,,
83,Organic heterojunction charge-transfer chemical sensors,10.1039/d3tc03695b,4.0,,,
