Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile,Primary author affiliation*,last_name,last_init,first_names,name_raw,potential_matches
"Mori, D.",665,2025,39801,59.9,3.67,95,56779709600,https://www.scopus.com/authid/detail.url?authorId=56779709600,Simon Fraser University,mori,m,d,d mori,[]
"van Nieuwkoop, J.",559,2023,42827,76.6,4.57,108,55573054900,https://www.scopus.com/authid/detail.url?authorId=55573054900,Simon Fraser University,van nieuwkoop,v,j,j van nieuwkoop,[]
"Horton, Arthur J.",494,2023,35783,72.4,4.23,95,36898362900,https://www.scopus.com/authid/detail.url?authorId=36898362900,Simon Fraser University,horton,h,arthur j,arthur j horton,[]
"O'Neil, Dugan C.",473,2023,34795,73.6,4.37,125,35227745700,https://www.scopus.com/authid/detail.url?authorId=35227745700,Simon Fraser University,oneil,o,dugan c,dugan c oneil,[]
"Bahrasemani, H.",466,2025,26153,56.1,3.44,86,57194525595,https://www.scopus.com/authid/detail.url?authorId=57194525595,Simon Fraser University,bahrasemani,b,h,h bahrasemani,[]
"O’Neil, D. C.",466,2025,22707,48.7,3.6,79,57202558154,https://www.scopus.com/authid/detail.url?authorId=57202558154,Simon Fraser University,o’neil,o,d c,d c o’neil,[]
"Danninger, Matthias",424,2025,8812,20.8,2.44,110,26221746900,https://www.scopus.com/authid/detail.url?authorId=26221746900,Simon Fraser University,danninger,d,matthias,matthias danninger,[]
"Jaeger, B. P.",423,2025,12685,30.0,2.85,55,57210340534,https://www.scopus.com/authid/detail.url?authorId=57210340534,Simon Fraser University,jaeger,j,b p,b p jaeger,[]
"Lehmann, Konstantin",405,2025,17373,42.9,3.24,70,57203301415,https://www.scopus.com/authid/detail.url?authorId=57203301415,Simon Fraser University,lehmann,l,konstantin,konstantin lehmann,[]
"Drechsler, E.",359,2025,14113,39.3,3.18,99,56611843700,https://www.scopus.com/authid/detail.url?authorId=56611843700,Simon Fraser University,drechsler,d,e,e drechsler,[]
"Dreyer, Etienne",359,2025,18835,52.5,3.32,75,57189975589,https://www.scopus.com/authid/detail.url?authorId=57189975589,Weizmann Institute of Science,dreyer,d,etienne,etienne dreyer,[]
"Montalbano, Alyssa",355,2025,18184,51.2,3.28,94,56397908300,https://www.scopus.com/authid/detail.url?authorId=56397908300,Simon Fraser University,montalbano,m,alyssa,alyssa montalbano,[]
"Temple, D.",313,2023,21763,69.5,4.01,80,56893265300,https://www.scopus.com/authid/detail.url?authorId=56893265300,Simon Fraser University,temple,t,d,d temple,[]
"Liu, Bingxuan",303,2025,5974,19.7,2.51,40,58603818900,https://www.scopus.com/authid/detail.url?authorId=58603818900,Sun Yat-Sen University,liu,l,bingxuan,bingxuan liu,[]
"Liu, Jiangchuan Chuan",301,2025,7109,23.6,2.56,65,8969748600,https://www.scopus.com/authid/detail.url?authorId=8969748600,Simon Fraser University,liu,l,jiangchuan chuan,jiangchuan chuan liu,[]
"Burzynski, Jackson Carl",274,2025,3325,12.1,2.17,55,57210335824,https://www.scopus.com/authid/detail.url?authorId=57210335824,Simon Fraser University,burzynski,b,jackson carl,jackson carl burzynski,[]
"Singh, Shuvay",265,2025,8423,31.8,2.98,48,59156749500,https://www.scopus.com/authid/detail.url?authorId=59156749500,Brandeis University,singh,s,shuvay,shuvay singh,[]
"Howlett, Michael P.",258,2025,8246,32.0,3.36,63,7004315057,https://www.scopus.com/authid/detail.url?authorId=7004315057,Simon Fraser University,howlett,h,michael p,michael p howlett,[]
"Ye, Zuo Guang",250,2025,6625,26.5,1.27,70,24443034100,https://www.scopus.com/authid/detail.url?authorId=24443034100,Simon Fraser University,ye,y,zuo guang,zuo guang ye,[]
"Menon, Carlo",215,2025,4370,20.3,1.25,46,23989261600,https://www.scopus.com/authid/detail.url?authorId=23989261600,Swiss Federal Institute of Technology Zurich,menon,m,carlo,carlo menon,[]
"Hanif, H.",204,2025,1662,8.1,1.88,19,58179780500,https://www.scopus.com/authid/detail.url?authorId=58179780500,Simon Fraser University,hanif,h,h,h hanif,[]
"Hayashi, Kanna",191,2025,2346,12.3,1.03,32,33267650300,https://www.scopus.com/authid/detail.url?authorId=33267650300,Simon Fraser University,hayashi,h,kanna,kanna hayashi,[]
"Llorente Merino, J.",190,2025,1993,10.5,2.04,20,58100818300,https://www.scopus.com/authid/detail.url?authorId=58100818300,Simon Fraser University,llorente merino,l,j,j llorente merino,[]
"Kaida, Angela K.",185,2025,3101,16.8,1.22,40,15048041200,https://www.scopus.com/authid/detail.url?authorId=15048041200,Simon Fraser University,kaida,k,angela k,angela k kaida,[]
"Beauregard, Éric M.",176,2025,2437,13.8,1.46,39,17344924200,https://www.scopus.com/authid/detail.url?authorId=17344924200,Simon Fraser University,beauregard,b,éric m,éric m beauregard,[]
"Hamarneh, Ghassan",176,2025,5826,33.1,2.97,45,6603568967,https://www.scopus.com/authid/detail.url?authorId=6603568967,Simon Fraser University,hamarneh,h,ghassan,ghassan hamarneh,[]
"Lear, Scott A.",173,2025,16615,96.0,5.13,67,7003829555,https://www.scopus.com/authid/detail.url?authorId=7003829555,Simon Fraser University,lear,l,scott a,scott a lear,[]
"DeBeck, Kora",161,2025,2299,14.3,0.95,30,16063277500,https://www.scopus.com/authid/detail.url?authorId=16063277500,Simon Fraser University,debeck,d,kora,kora debeck,[]
"Winters, Meghan L.",159,2025,3833,24.1,1.4,42,16235208800,https://www.scopus.com/authid/detail.url?authorId=16235208800,Simon Fraser University,winters,w,meghan l,meghan l winters,[]
"Andreoiu, Corina A.",157,2025,1764,11.2,0.69,32,7003934114,https://www.scopus.com/authid/detail.url?authorId=7003934114,Simon Fraser University,andreoiu,a,corina a,corina a andreoiu,[]
"Fischer, Benedikt",152,2025,2973,19.6,2.3,54,56603004800,https://www.scopus.com/authid/detail.url?authorId=56603004800,The University of Auckland,fischer,f,benedikt,benedikt fischer,[]
"Llorente.merino, J.",150,2023,6517,43.4,3.12,125,44461638200,https://www.scopus.com/authid/detail.url?authorId=44461638200,Simon Fraser University,llorentemerino,l,j,j llorentemerino,[]
"Clague, John Joseph",150,2025,4919,32.8,2.61,57,7102359243,https://www.scopus.com/authid/detail.url?authorId=7102359243,Simon Fraser University,clague,c,john joseph,john joseph clague,[]
"Nosyk, Bohdan",149,2025,3179,21.3,1.49,38,12809172100,https://www.scopus.com/authid/detail.url?authorId=12809172100,Unknown affiliation,nosyk,n,bohdan,bohdan nosyk,[]
"Stuerzlinger, Wolfgang",148,2025,2833,19.1,2.0,40,55902405400,https://www.scopus.com/authid/detail.url?authorId=55902405400,Simon Fraser University,stuerzlinger,s,wolfgang,wolfgang stuerzlinger,[]
